Overall score	Negative	Neutral	Positive
-0.3506	0.101	0.867	0.032
-0.4019	0.208	0.712	0.079
-0.0808	0.12	0.77	0.11
-0.128	0.157	0.723	0.12
0.8481	0.0	0.805	0.195
0.4019	0.0	0.879	0.121
0.5719	0.0	0.909	0.091
-0.296	0.071	0.929	0.0
-0.4019	0.203	0.72	0.077
-0.8622	0.27	0.628	0.102
0.0	0.0	1.0	0.0
-0.25	0.076	0.886	0.039
-0.4404	0.122	0.878	0.0
-0.2263	0.072	0.885	0.043
0.5267	0.054	0.777	0.169
0.3612	0.0	0.93	0.07
-0.9313	0.325	0.675	0.0
0.296	0.057	0.855	0.088
-0.6597	0.172	0.778	0.05
0.7717	0.0	0.784	0.216
-0.7269	0.21	0.744	0.045
-0.34	0.179	0.682	0.139
-0.7184	0.2	0.8	0.0
-0.6249	0.128	0.872	0.0
0.8176	0.0	0.74	0.26
-0.0258	0.125	0.787	0.089
-0.6705	0.124	0.876	0.0
0.8625	0.0	0.793	0.207
0.6705	0.0	0.857	0.143
0.0	0.0	1.0	0.0
-0.8519	0.21	0.79	0.0
-0.8591	0.218	0.782	0.0
-0.5719	0.169	0.831	0.0
0.0	0.092	0.842	0.067
0.6597	0.0	0.843	0.157
0.0772	0.097	0.8	0.103
-0.2023	0.094	0.906	0.0
-0.2023	0.094	0.906	0.0
-0.2263	0.249	0.592	0.159
-0.2263	0.249	0.592	0.159
-0.4019	0.272	0.549	0.18
0.6124	0.065	0.73	0.205
0.0	0.0	1.0	0.0
-0.34	0.072	0.928	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7184	0.162	0.838	0.0
0.9542	0.0	0.623	0.377
0.7269	0.0	0.826	0.174
0.1321	0.064	0.882	0.054
0.8062	0.027	0.787	0.186
-0.836	0.304	0.696	0.0
0.0	0.0	1.0	0.0
0.2263	0.091	0.732	0.177
-0.3182	0.102	0.898	0.0
0.8779	0.062	0.617	0.321
-0.698	0.179	0.787	0.034
0.34	0.046	0.861	0.093
-0.296	0.056	0.944	0.0
0.2263	0.0	0.94	0.06
0.0	0.0	1.0	0.0
-0.651	0.203	0.735	0.062
0.7629	0.051	0.753	0.196
0.2023	0.0	0.942	0.058
0.4019	0.0	0.899	0.101
-0.0516	0.086	0.833	0.08
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.9274	0.027	0.91	0.063
-0.2023	0.08	0.862	0.057
0.3818	0.0	0.906	0.094
-0.6486	0.17	0.769	0.06
-0.0258	0.079	0.845	0.076
0.34	0.037	0.884	0.079
-0.4871	0.145	0.78	0.075
0.128	0.151	0.682	0.166
0.2023	0.153	0.669	0.178
-0.1695	0.06	0.94	0.0
0.4404	0.109	0.725	0.166
-0.765	0.196	0.804	0.0
0.7783	0.08	0.685	0.235
0.3182	0.0	0.924	0.076
0.25	0.075	0.752	0.173
0.296	0.0	0.925	0.075
-0.6597	0.171	0.829	0.0
-0.765	0.209	0.791	0.0
0.6249	0.133	0.623	0.244
-0.6597	0.211	0.789	0.0
0.4588	0.0	0.906	0.094
0.4588	0.0	0.906	0.094
0.4588	0.0	0.906	0.094
-0.765	0.229	0.771	0.0
-0.4767	0.164	0.772	0.064
-0.5574	0.201	0.722	0.078
-0.7096	0.185	0.815	0.0
-0.296	0.068	0.932	0.0
0.6988	0.0	0.852	0.148
-0.5423	0.116	0.833	0.051
0.3612	0.049	0.848	0.102
0.0772	0.0	0.957	0.043
-0.34	0.059	0.941	0.0
-0.3182	0.091	0.909	0.0
-0.91	0.333	0.667	0.0
-0.128	0.127	0.794	0.079
-0.5267	0.112	0.888	0.0
0.8518	0.0	0.79	0.21
0.0312	0.085	0.806	0.109
0.5106	0.114	0.696	0.19
0.3291	0.0	0.934	0.066
0.6486	0.049	0.793	0.159
-0.0772	0.04	0.96	0.0
0.4145	0.043	0.836	0.121
-0.5719	0.16	0.787	0.052
-0.0139	0.104	0.793	0.103
-0.6124	0.22	0.691	0.089
0.6369	0.0	0.898	0.102
0.1531	0.105	0.804	0.091
-0.34	0.102	0.898	0.0
-0.5574	0.229	0.676	0.094
0.5719	0.055	0.798	0.147
0.0	0.0	1.0	0.0
-0.0258	0.041	0.959	0.0
-0.296	0.062	0.937	0.0
0.8074	0.0	0.721	0.279
-0.8126	0.284	0.68	0.036
0.6808	0.046	0.787	0.167
-0.0772	0.07	0.887	0.043
0.0258	0.032	0.933	0.035
0.7845	0.0	0.807	0.193
0.3182	0.0	0.949	0.051
0.3818	0.1	0.757	0.143
0.0	0.0	1.0	0.0
0.4588	0.05	0.776	0.174
-0.7184	0.194	0.806	0.0
0.6597	0.0	0.828	0.172
-0.296	0.068	0.932	0.0
-0.7717	0.199	0.801	0.0
-0.1531	0.093	0.829	0.078
-0.4769	0.285	0.491	0.224
-0.4019	0.125	0.875	0.0
0.0258	0.072	0.854	0.074
0.4019	0.043	0.84	0.117
-0.4215	0.138	0.862	0.0
-0.296	0.051	0.949	0.0
-0.4215	0.08	0.92	0.0
-0.296	0.068	0.932	0.0
0.7096	0.033	0.802	0.165
-0.3818	0.104	0.896	0.0
-0.0516	0.031	0.969	0.0
-0.5574	0.133	0.867	0.0
-0.2023	0.078	0.867	0.055
0.128	0.157	0.671	0.173
0.0772	0.107	0.779	0.114
0.0	0.0	1.0	0.0
-0.8074	0.198	0.774	0.029
-0.8074	0.198	0.774	0.029
-0.8074	0.198	0.774	0.029
0.7096	0.0	0.813	0.187
-0.8807	0.309	0.691	0.0
0.34	0.041	0.848	0.111
-0.1901	0.04	0.96	0.0
0.0516	0.126	0.743	0.131
-0.6486	0.159	0.841	0.0
0.0	0.0	1.0	0.0
-0.743	0.164	0.836	0.0
-0.4939	0.185	0.736	0.079
-0.0516	0.131	0.777	0.092
0.1531	0.127	0.703	0.17
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4215	0.214	0.705	0.082
0.2406	0.0	0.944	0.056
0.34	0.042	0.833	0.125
-0.5423	0.08	0.92	0.0
0.7906	0.074	0.768	0.158
-0.5423	0.106	0.894	0.0
0.5574	0.0	0.878	0.122
0.6808	0.0	0.828	0.172
-0.8588	0.356	0.644	0.0
0.7184	0.0	0.811	0.189
0.0	0.0	1.0	0.0
0.4767	0.0	0.897	0.103
0.3612	0.04	0.836	0.124
-0.0516	0.086	0.806	0.108
0.2263	0.067	0.84	0.092
-0.5106	0.088	0.912	0.0
-0.0516	0.131	0.777	0.092
0.0	0.0	1.0	0.0
-0.6705	0.225	0.703	0.073
0.7181	0.031	0.926	0.042
0.8807	0.0	0.699	0.301
-0.128	0.072	0.872	0.056
0.2617	0.15	0.671	0.179
-0.5499	0.136	0.864	0.0
0.4404	0.0	0.903	0.097
-0.2944	0.118	0.824	0.058
0.1531	0.092	0.767	0.141
0.4939	0.037	0.868	0.095
0.6369	0.094	0.672	0.234
0.6369	0.094	0.672	0.234
-0.7845	0.263	0.737	0.0
-0.8591	0.317	0.623	0.06
0.4939	0.0	0.901	0.099
-0.4939	0.105	0.864	0.03
0.6369	0.0	0.839	0.161
0.7096	0.0	0.802	0.198
0.7351	0.0	0.842	0.158
-0.5719	0.16	0.787	0.052
-0.4588	0.081	0.919	0.0
0.8367	0.0	0.752	0.248
-0.128	0.135	0.742	0.123
0.2732	0.047	0.87	0.084
-0.4939	0.127	0.873	0.0
-0.25	0.062	0.938	0.0
0.0516	0.0	0.95	0.05
-0.8126	0.247	0.722	0.031
0.0	0.0	1.0	0.0
-0.1027	0.088	0.839	0.073
-0.9403	0.377	0.564	0.059
-0.1978	0.14	0.743	0.117
-0.7506	0.234	0.766	0.0
-0.1779	0.061	0.893	0.046
0.0	0.0	1.0	0.0
-0.8442	0.213	0.787	0.0
-0.6808	0.201	0.717	0.082
-0.5574	0.118	0.882	0.0
-0.1531	0.054	0.946	0.0
-0.5106	0.154	0.807	0.039
-0.6801	0.157	0.843	0.0
0.6808	0.0	0.843	0.157
0.6908	0.0	0.836	0.164
0.8225	0.0	0.751	0.249
0.8225	0.0	0.751	0.249
-0.872	0.314	0.686	0.0
-0.743	0.174	0.826	0.0
0.7579	0.033	0.759	0.209
0.7579	0.033	0.759	0.209
-0.5267	0.145	0.855	0.0
0.5423	0.166	0.579	0.254
0.0	0.0	1.0	0.0
0.4215	0.043	0.859	0.098
0.0	0.0	1.0	0.0
-0.296	0.134	0.763	0.103
0.2263	0.095	0.756	0.148
0.0	0.0	1.0	0.0
-0.4215	0.108	0.861	0.031
-0.4215	0.111	0.857	0.031
0.2263	0.067	0.84	0.092
0.5106	0.0	0.912	0.088
-0.0516	0.131	0.777	0.092
0.5106	0.0	0.912	0.088
0.7579	0.033	0.759	0.209
-0.9107	0.083	0.858	0.058
0.2382	0.123	0.678	0.199
-0.1531	0.097	0.841	0.062
-0.7351	0.211	0.789	0.0
0.3182	0.071	0.849	0.079
0.0	0.0	1.0	0.0
-0.8481	0.186	0.75	0.064
0.8481	0.065	0.678	0.257
-0.6705	0.139	0.861	0.0
-0.0844	0.115	0.8	0.085
-0.3182	0.073	0.927	0.0
-0.2023	0.06	0.94	0.0
0.7184	0.0	0.846	0.154
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2023	0.124	0.756	0.12
-0.6124	0.134	0.833	0.033
-0.6249	0.253	0.634	0.113
-0.4588	0.224	0.635	0.141
-0.8934	0.276	0.672	0.052
-0.1531	0.097	0.827	0.076
-0.743	0.195	0.805	0.0
0.7964	0.0	0.808	0.192
-0.5859	0.26	0.619	0.121
-0.1531	0.085	0.816	0.099
-0.4671	0.192	0.72	0.088
0.2168	0.132	0.715	0.153
0.6808	0.065	0.729	0.206
0.3182	0.094	0.777	0.129
-0.4404	0.174	0.734	0.092
-0.6705	0.178	0.761	0.061
0.8826	0.0	0.71	0.29
-0.743	0.169	0.831	0.0
0.296	0.111	0.749	0.14
-0.1531	0.108	0.839	0.052
-0.1027	0.054	0.902	0.044
0.0772	0.123	0.769	0.108
0.0258	0.117	0.763	0.12
0.4019	0.089	0.738	0.172
-0.5106	0.104	0.896	0.0
-0.0516	0.122	0.799	0.08
-0.0516	0.122	0.799	0.08
0.0	0.0	1.0	0.0
-0.4404	0.109	0.891	0.0
-0.0516	0.131	0.777	0.092
0.4767	0.116	0.691	0.193
0.25	0.0	0.941	0.059
0.1779	0.156	0.672	0.171
0.9336	0.0	0.63	0.37
0.2263	0.0	0.934	0.066
0.0	0.0	1.0	0.0
0.6597	0.0	0.833	0.167
0.2023	0.06	0.857	0.083
0.8379	0.085	0.659	0.255
-0.0258	0.137	0.758	0.105
0.5859	0.062	0.739	0.199
-0.4767	0.075	0.925	0.0
0.1027	0.079	0.833	0.088
0.0	0.0	1.0	0.0
0.8176	0.0	0.767	0.233
-0.4159	0.129	0.787	0.084
-0.4939	0.145	0.806	0.049
-0.4939	0.154	0.794	0.052
-0.5423	0.17	0.738	0.092
0.0	0.0	1.0	0.0
-0.4588	0.133	0.867	0.0
-0.4404	0.122	0.82	0.058
-0.25	0.132	0.794	0.074
-0.5994	0.112	0.888	0.0
-0.5423	0.127	0.873	0.0
0.5574	0.0	0.87	0.13
-0.5994	0.224	0.664	0.112
0.431	0.0	0.923	0.077
-0.6662	0.146	0.854	0.0
0.296	0.183	0.571	0.246
-0.2724	0.072	0.928	0.0
-0.8176	0.221	0.779	0.0
0.1139	0.0	0.953	0.047
0.1139	0.0	0.953	0.047
-0.4939	0.145	0.806	0.049
-0.8735	0.211	0.743	0.046
0.0	0.0	1.0	0.0
0.7506	0.0	0.833	0.167
-0.5916	0.176	0.768	0.056
0.0	0.0	1.0	0.0
-0.6908	0.174	0.784	0.042
0.0	0.0	1.0	0.0
-0.9337	0.321	0.679	0.0
0.0258	0.0	0.971	0.029
0.0	0.0	1.0	0.0
-0.0	0.086	0.8	0.114
-0.5106	0.115	0.885	0.0
-0.6486	0.203	0.667	0.13
0.4588	0.087	0.777	0.136
0.6537	0.054	0.761	0.185
-0.3182	0.071	0.929	0.0
0.5859	0.111	0.684	0.205
0.3863	0.053	0.817	0.13
-0.7717	0.21	0.79	0.0
0.0772	0.16	0.671	0.169
0.8126	0.0	0.815	0.185
-0.7506	0.259	0.741	0.0
-0.4588	0.081	0.919	0.0
-0.4588	0.081	0.919	0.0
-0.836	0.355	0.575	0.07
-0.4588	0.081	0.919	0.0
0.2732	0.07	0.794	0.137
0.4767	0.125	0.667	0.208
0.0	0.0	1.0	0.0
0.1779	0.049	0.877	0.074
0.1655	0.162	0.611	0.227
-0.7108	0.18	0.82	0.0
0.4215	0.042	0.863	0.095
-0.743	0.181	0.819	0.0
-0.5106	0.122	0.878	0.0
-0.5346	0.174	0.687	0.139
-0.6478	0.165	0.797	0.038
-0.4871	0.095	0.905	0.0
-0.8126	0.276	0.724	0.0
0.0	0.0	1.0	0.0
0.4404	0.0	0.878	0.122
0.886	0.0	0.64	0.36
-0.1027	0.079	0.921	0.0
0.0516	0.115	0.785	0.1
0.6486	0.074	0.707	0.219
0.6486	0.0	0.885	0.115
0.6597	0.0	0.843	0.157
0.4767	0.125	0.728	0.148
-0.7845	0.203	0.797	0.0
-0.4678	0.115	0.82	0.065
0.2846	0.0	0.905	0.095
0.0	0.0	1.0	0.0
0.8442	0.105	0.573	0.322
-0.5859	0.106	0.894	0.0
-0.8658	0.327	0.673	0.0
-0.8658	0.292	0.708	0.0
-0.1531	0.082	0.884	0.034
0.4019	0.068	0.789	0.144
0.7906	0.053	0.725	0.222
-0.8176	0.277	0.663	0.06
-0.8176	0.277	0.663	0.06
0.5859	0.049	0.779	0.172
-0.0772	0.092	0.825	0.083
-0.4215	0.15	0.787	0.062
0.4215	0.067	0.785	0.148
-0.6369	0.137	0.819	0.044
0.6705	0.0	0.845	0.155
0.2023	0.076	0.822	0.102
0.128	0.098	0.794	0.108
0.0	0.0	1.0	0.0
-0.4404	0.165	0.771	0.064
-0.7579	0.217	0.783	0.0
-0.7579	0.217	0.783	0.0
0.4215	0.0	0.903	0.097
-0.3612	0.128	0.816	0.055
-0.0258	0.089	0.825	0.086
-0.1717	0.192	0.607	0.201
-0.4404	0.071	0.929	0.0
-0.5106	0.096	0.904	0.0
-0.6126	0.172	0.828	0.0
0.0	0.0	1.0	0.0
0.3818	0.0	0.755	0.245
-0.4767	0.097	0.903	0.0
-0.1027	0.036	0.964	0.0
-0.128	0.086	0.862	0.051
-0.296	0.114	0.836	0.05
0.4939	0.0	0.909	0.091
0.0	0.076	0.848	0.076
-0.8164	0.245	0.673	0.082
-0.0516	0.098	0.838	0.064
-0.6808	0.201	0.726	0.073
-0.6808	0.167	0.833	0.0
0.34	0.0	0.921	0.079
0.0258	0.078	0.809	0.113
-0.5106	0.171	0.773	0.056
-0.3612	0.145	0.796	0.059
0.0	0.114	0.802	0.083
0.34	0.0	0.921	0.079
0.3875	0.0	0.917	0.083
-0.4019	0.134	0.866	0.0
-0.1531	0.085	0.915	0.0
0.3919	0.083	0.788	0.129
-0.743	0.21	0.716	0.074
0.2263	0.113	0.759	0.128
0.4767	0.0	0.912	0.088
-0.7184	0.212	0.788	0.0
-0.7615	0.247	0.753	0.0
0.2263	0.049	0.868	0.083
0.2263	0.049	0.868	0.083
0.0772	0.123	0.769	0.108
-0.4019	0.101	0.899	0.0
0.0	0.0	1.0	0.0
-0.7506	0.122	0.878	0.0
-0.5574	0.141	0.859	0.0
-0.5106	0.17	0.78	0.05
-0.3597	0.172	0.741	0.088
0.4019	0.041	0.855	0.104
-0.8062	0.165	0.835	0.0
-0.0258	0.066	0.841	0.093
0.7579	0.0	0.762	0.238
-0.1027	0.088	0.839	0.073
-0.1531	0.082	0.918	0.0
0.0	0.0	1.0	0.0
-0.5719	0.15	0.85	0.0
-0.5719	0.15	0.85	0.0
0.5267	0.196	0.571	0.234
0.0	0.0	1.0	0.0
-0.4215	0.071	0.929	0.0
0.7579	0.0	0.795	0.205
0.0	0.0	1.0	0.0
-0.7089	0.157	0.843	0.0
0.0	0.0	1.0	0.0
-0.3182	0.087	0.913	0.0
-0.6908	0.208	0.747	0.045
0.6249	0.0	0.85	0.15
-0.8807	0.311	0.689	0.0
-0.0258	0.034	0.966	0.0
-0.25	0.092	0.85	0.058
-0.0258	0.185	0.66	0.156
0.3612	0.137	0.694	0.169
0.2732	0.093	0.725	0.183
-0.34	0.088	0.912	0.0
-0.2023	0.088	0.85	0.061
0.1779	0.088	0.806	0.106
0.1779	0.088	0.806	0.106
0.0516	0.115	0.785	0.1
0.8402	0.0	0.763	0.237
-0.4939	0.078	0.922	0.0
-0.4767	0.118	0.832	0.05
0.296	0.057	0.829	0.114
-0.4939	0.153	0.78	0.067
-0.4215	0.17	0.707	0.123
-0.5719	0.153	0.847	0.0
-0.3182	0.087	0.913	0.0
-0.3182	0.138	0.774	0.088
0.128	0.061	0.864	0.075
0.128	0.061	0.864	0.075
0.7129	0.041	0.909	0.051
-0.6705	0.164	0.836	0.0
0.6124	0.043	0.806	0.151
0.7764	0.123	0.577	0.3
-0.4767	0.164	0.836	0.0
0.6249	0.0	0.836	0.164
-0.3818	0.082	0.918	0.0
-0.1877	0.101	0.843	0.056
-0.4939	0.183	0.762	0.055
-0.296	0.073	0.927	0.0
0.128	0.06	0.866	0.073
0.7845	0.0	0.774	0.226
0.7876	0.0	0.826	0.174
0.2023	0.0	0.954	0.046
0.6517	0.116	0.685	0.199
-0.0644	0.137	0.733	0.13
0.7906	0.0	0.784	0.216
0.4939	0.0	0.868	0.132
-0.8271	0.234	0.766	0.0
0.8074	0.0	0.771	0.229
0.128	0.0	0.954	0.046
-0.079	0.074	0.862	0.064
0.3612	0.059	0.812	0.129
-0.5267	0.118	0.882	0.0
0.5574	0.05	0.801	0.149
-0.7845	0.225	0.74	0.036
0.8402	0.105	0.602	0.293
0.7391	0.0	0.805	0.195
-0.7351	0.205	0.795	0.0
0.6486	0.076	0.7	0.224
0.6486	0.076	0.7	0.224
-0.4588	0.175	0.747	0.078
-0.7096	0.16	0.84	0.0
-0.7506	0.228	0.772	0.0
-0.0516	0.038	0.962	0.0
-0.6705	0.248	0.594	0.158
-0.5719	0.29	0.557	0.152
-0.2982	0.098	0.866	0.036
0.0772	0.0	0.949	0.051
0.0516	0.189	0.61	0.201
0.2792	0.071	0.854	0.075
-0.8176	0.292	0.643	0.064
0.1779	0.088	0.806	0.106
-0.2023	0.065	0.935	0.0
-0.2023	0.067	0.933	0.0
-0.0258	0.095	0.84	0.065
0.4404	0.119	0.68	0.201
-0.6597	0.159	0.809	0.032
-0.7351	0.256	0.744	0.0
-0.6808	0.167	0.833	0.0
-0.782	0.16	0.84	0.0
-0.4215	0.087	0.88	0.034
-0.1027	0.045	0.955	0.0
-0.5267	0.124	0.876	0.0
-0.7893	0.25	0.7	0.05
-0.2865	0.115	0.83	0.055
0.4019	0.0	0.906	0.094
-0.34	0.091	0.909	0.0
-0.6908	0.206	0.794	0.0
-0.8834	0.293	0.619	0.088
0.4497	0.075	0.75	0.175
-0.6808	0.167	0.833	0.0
0.4767	0.125	0.667	0.208
0.2732	0.18	0.661	0.16
0.8689	0.073	0.639	0.289
0.5994	0.0	0.844	0.156
0.5023	0.0	0.847	0.153
-0.0478	0.089	0.828	0.083
0.0	0.072	0.856	0.072
-0.8271	0.194	0.806	0.0
-0.3612	0.088	0.912	0.0
0.25	0.0	0.917	0.083
-0.4588	0.133	0.867	0.0
-0.1531	0.07	0.877	0.053
0.5719	0.107	0.691	0.202
-0.0516	0.05	0.906	0.044
-0.7003	0.23	0.658	0.111
-0.228	0.097	0.831	0.072
-0.228	0.097	0.831	0.072
-0.3919	0.19	0.721	0.089
-0.3919	0.19	0.721	0.089
-0.5106	0.084	0.879	0.037
-0.6597	0.227	0.7	0.072
0.4767	0.101	0.739	0.161
0.25	0.0	0.923	0.077
-0.4767	0.102	0.898	0.0
0.6605	0.0	0.855	0.145
0.7717	0.0	0.717	0.283
0.3612	0.0	0.933	0.067
0.8074	0.046	0.747	0.207
0.4215	0.0	0.912	0.088
-0.9349	0.362	0.638	0.0
-0.3182	0.168	0.724	0.109
0.128	0.074	0.836	0.09
0.743	0.08	0.659	0.261
-0.7269	0.162	0.809	0.029
-0.296	0.073	0.927	0.0
0.0	0.0	1.0	0.0
-0.0708	0.143	0.738	0.119
-0.3818	0.164	0.755	0.082
-0.4215	0.18	0.736	0.084
-0.4215	0.18	0.736	0.084
-0.3818	0.164	0.755	0.082
-0.4939	0.142	0.799	0.059
-0.128	0.204	0.638	0.158
-0.3182	0.059	0.941	0.0
-0.4767	0.211	0.703	0.086
0.6369	0.0	0.833	0.167
-0.8126	0.254	0.714	0.032
0.25	0.0	0.933	0.067
0.34	0.182	0.598	0.22
0.1655	0.08	0.803	0.116
0.0772	0.123	0.769	0.108
0.6369	0.074	0.71	0.216
0.7184	0.0	0.838	0.162
0.836	0.0	0.721	0.279
0.7184	0.0	0.86	0.14
0.6124	0.048	0.771	0.181
-0.4588	0.221	0.676	0.103
-0.7269	0.221	0.779	0.0
0.0	0.0	1.0	0.0
0.4588	0.0	0.862	0.138
0.34	0.037	0.884	0.079
-0.5994	0.133	0.836	0.031
0.7184	0.034	0.791	0.175
0.2732	0.064	0.812	0.125
0.2732	0.064	0.812	0.125
-0.3089	0.083	0.917	0.0
0.8834	0.039	0.665	0.296
0.4588	0.0	0.941	0.059
0.2023	0.061	0.823	0.116
0.128	0.074	0.836	0.09
0.765	0.0	0.844	0.156
-0.5423	0.141	0.817	0.042
0.5267	0.072	0.771	0.157
0.0	0.0	1.0	0.0
-0.5423	0.099	0.901	0.0
-0.296	0.071	0.929	0.0
0.2263	0.0	0.939	0.061
0.2263	0.0	0.936	0.064
0.2023	0.0	0.942	0.058
0.0	0.0	1.0	0.0
-0.7023	0.178	0.822	0.0
-0.7023	0.178	0.822	0.0
-0.7023	0.178	0.822	0.0
-0.2732	0.114	0.817	0.069
0.8367	0.0	0.752	0.248
-0.2732	0.114	0.817	0.069
-0.4497	0.078	0.922	0.0
0.34	0.0	0.918	0.082
-0.5994	0.209	0.716	0.074
0.765	0.0	0.829	0.171
0.0	0.0	1.0	0.0
0.6808	0.0	0.823	0.177
0.1779	0.105	0.8	0.095
0.743	0.052	0.749	0.199
0.3182	0.085	0.765	0.15
0.0258	0.125	0.806	0.069
0.0	0.0	1.0	0.0
-0.6597	0.241	0.759	0.0
-0.2023	0.161	0.702	0.137
-0.34	0.098	0.902	0.0
-0.4215	0.085	0.915	0.0
0.296	0.071	0.794	0.135
-0.1027	0.087	0.839	0.074
0.3818	0.104	0.725	0.171
-0.0	0.164	0.717	0.119
0.3167	0.114	0.658	0.228
0.0516	0.086	0.822	0.092
0.4767	0.125	0.667	0.208
-0.0772	0.112	0.812	0.076
0.5478	0.0	0.876	0.124
0.2023	0.096	0.785	0.119
0.6169	0.0	0.848	0.152
0.0	0.0	1.0	0.0
-0.7579	0.246	0.754	0.0
0.34	0.111	0.729	0.16
-0.7506	0.192	0.808	0.0
0.4215	0.0	0.887	0.113
0.3612	0.049	0.848	0.102
0.6486	0.061	0.712	0.227
0.6486	0.061	0.712	0.227
-0.2144	0.06	0.94	0.0
0.1531	0.101	0.81	0.089
-0.3875	0.086	0.914	0.0
-0.0258	0.097	0.78	0.123
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.128	0.067	0.851	0.082
-0.128	0.165	0.722	0.113
-0.5267	0.148	0.794	0.058
0.0	0.0	1.0	0.0
-0.3612	0.068	0.932	0.0
0.6486	0.055	0.74	0.205
-0.6369	0.161	0.839	0.0
0.25	0.086	0.771	0.143
0.2247	0.062	0.851	0.088
0.4019	0.0	0.915	0.085
-0.4404	0.22	0.633	0.147
-0.8519	0.284	0.716	0.0
-0.5994	0.13	0.87	0.0
-0.6652	0.168	0.832	0.0
-0.2023	0.101	0.847	0.053
0.0	0.0	1.0	0.0
-0.4588	0.221	0.651	0.128
-0.2263	0.144	0.736	0.12
-0.743	0.145	0.855	0.0
-0.0516	0.158	0.691	0.151
0.1027	0.061	0.867	0.071
-0.1779	0.088	0.912	0.0
-0.9081	0.34	0.66	0.0
-0.1027	0.062	0.887	0.052
0.6908	0.0	0.845	0.155
-0.3182	0.149	0.785	0.066
-0.5106	0.133	0.867	0.0
0.0258	0.0	0.967	0.033
0.25	0.066	0.816	0.117
